                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.581,                 1.9991,                  1.434,                0.66613,                 0.3297,                0.42304,                0.21469,                 1.7582,                 2.2821,                 1.5596,             0.00055005,             0.00055005,             0.00055005
                      2,                 1.6982,                 1.7738,                 1.5462,                0.45917,                 0.3796,                0.33713,                 0.1522,                 1.9529,                 2.4512,                 1.8366,              0.0010838,              0.0010838,              0.0010838
                      3,                 1.7603,                 1.7985,                 1.5991,                0.56269,                0.41792,                0.43133,                0.20045,                 1.9585,                 1.8975,                 1.7643,              0.0015956,              0.0015956,              0.0015956
                      4,                 1.7648,                 1.7853,                 1.6078,                0.53582,                0.39365,                 0.4025,                0.18547,                 2.0091,                 2.0174,                 1.8261,               0.001568,               0.001568,               0.001568
                      5,                 1.7283,                 1.7335,                 1.5828,                0.49381,                 0.3808,                 0.3747,                0.17957,                 1.9071,                 1.9788,                 1.7759,               0.001568,               0.001568,               0.001568
                      6,                 1.7034,                 1.6973,                 1.5821,                0.58829,                0.41084,                0.44507,                0.21603,                 1.8957,                 1.9103,                 1.7365,               0.001535,               0.001535,               0.001535
                      7,                 1.6859,                 1.6804,                 1.5717,                0.58449,                0.44517,                0.47401,                0.23546,                 1.8414,                 1.6939,                 1.6924,               0.001502,               0.001502,               0.001502
                      8,                 1.6588,                 1.6248,                  1.555,                0.59826,                0.47369,                0.49291,                0.24364,                 1.8141,                 1.6786,                 1.6531,               0.001469,               0.001469,               0.001469
                      9,                 1.6357,                 1.5393,                 1.5284,                0.61481,                0.46252,                0.49604,                0.24679,                 1.8283,                 1.6919,                 1.6802,               0.001436,               0.001436,               0.001436
                     10,                 1.6181,                 1.5477,                 1.5245,                0.60002,                0.49625,                0.51587,                0.26932,                 1.7615,                 1.6779,                 1.6257,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.6296,                 1.5469,                 1.5304,                0.63271,                0.48603,                0.52004,                0.27269,                 1.7667,                 1.5755,                  1.609,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.6178,                  1.526,                 1.5245,                0.64319,                0.48955,                0.52951,                0.27705,                 1.7725,                 1.5271,                 1.6002,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.5918,                 1.4884,                 1.4984,                0.64552,                0.48354,                0.52672,                0.27638,                 1.7511,                 1.5542,                 1.5841,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.5794,                 1.4772,                 1.4921,                0.64258,                0.51657,                0.55002,                0.29059,                 1.7082,                 1.5087,                 1.6218,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.5857,                 1.4526,                 1.4927,                0.64991,                0.51324,                0.55171,                0.28584,                 1.7353,                 1.6433,                 1.5802,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.5692,                 1.4355,                 1.4825,                0.65183,                0.49074,                0.52301,                0.27074,                 1.7485,                  1.541,                 1.6091,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.5542,                 1.4198,                 1.4661,                  0.661,                  0.526,                0.55801,                0.29909,                 1.7036,                 1.4481,                 1.5706,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.5401,                 1.3833,                 1.4548,                0.65603,                0.51677,                 0.5603,                0.29871,                 1.7046,                 1.4323,                 1.5507,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.5412,                 1.3882,                 1.4522,                0.63743,                0.51553,                0.55073,                0.28681,                 1.7377,                 1.4498,                 1.5712,              0.0011059,              0.0011059,              0.0011059
                     20,                  1.533,                 1.3743,                 1.4581,                0.67202,                0.52145,                0.56772,                0.30846,                  1.702,                  1.414,                 1.5605,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.4958,                 1.3367,                 1.4347,                0.67769,                0.51647,                0.56459,                0.30372,                 1.6969,                 1.4286,                 1.5538,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.5173,                 1.3665,                 1.4494,                0.70957,                0.51919,                0.58664,                0.31842,                 1.6838,                  1.363,                 1.5311,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.5017,                 1.3329,                 1.4273,                0.67076,                0.52449,                0.57371,                0.30785,                 1.7064,                 1.4114,                 1.5415,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.5071,                 1.3123,                 1.4205,                0.65311,                0.54217,                0.57637,                0.31062,                 1.6385,                 1.3824,                 1.5019,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.4853,                 1.3115,                  1.422,                0.68074,                0.53647,                0.58726,                0.31976,                 1.6907,                 1.3593,                 1.5323,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.4694,                 1.3043,                 1.4155,                0.68567,                0.53252,                0.58329,                0.31087,                 1.6819,                 1.3601,                 1.5278,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.4633,                  1.282,                 1.4052,                0.66589,                0.53122,                0.57383,                0.31192,                 1.6837,                 1.3888,                 1.5438,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.4439,                 1.2727,                 1.3964,                0.66792,                0.53987,                 0.5816,                0.31873,                 1.6645,                 1.3517,                 1.5121,             0.00080883,             0.00080883,             0.00080883
                     29,                  1.443,                 1.2527,                 1.3929,                0.66923,                0.54779,                0.58954,                0.32583,                 1.6377,                 1.3406,                 1.5089,             0.00077582,             0.00077582,             0.00077582
                     30,                  1.446,                 1.2495,                 1.3927,                0.69233,                0.54304,                0.60033,                0.32851,                 1.6561,                 1.3247,                 1.5107,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.4218,                  1.234,                 1.3868,                0.69213,                0.55781,                0.60258,                0.33679,                 1.6357,                 1.2951,                  1.493,             0.00070981,             0.00070981,             0.00070981
                     32,                  1.413,                 1.2152,                 1.3704,                0.70036,                0.54321,                0.59607,                0.33306,                 1.6268,                 1.3305,                  1.491,              0.0006768,              0.0006768,              0.0006768
                     33,                  1.409,                 1.2034,                 1.3647,                 0.6595,                0.57827,                0.60246,                0.33413,                 1.6429,                 1.2966,                 1.4921,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.4114,                 1.1824,                 1.3622,                0.67686,                0.55851,                0.60239,                 0.3305,                 1.6326,                 1.3028,                 1.4937,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.4009,                 1.1836,                 1.3554,                0.71104,                0.55193,                0.60859,                0.33857,                 1.6313,                 1.2743,                 1.4759,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.4101,                 1.2025,                 1.3639,                0.69773,                0.56123,                0.61301,                 0.3425,                 1.6292,                 1.2696,                 1.4858,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.3922,                  1.159,                 1.3459,                0.69687,                0.57316,                0.61196,                0.34039,                 1.6341,                 1.2729,                 1.4896,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.3768,                 1.1612,                 1.3504,                0.69306,                0.56115,                0.60533,                0.33213,                 1.6433,                 1.2895,                 1.5029,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.3861,                 1.1513,                 1.3485,                0.71137,                0.56167,                0.60972,                0.33407,                 1.6271,                 1.2704,                 1.4823,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.3853,                 1.1489,                 1.3475,                0.72079,                 0.5526,                 0.6148,                0.34613,                 1.6121,                 1.2533,                 1.4764,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.4243,                 1.1462,                 1.3728,                0.70027,                0.56595,                0.61447,                0.34121,                 1.6216,                 1.2481,                 1.4804,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.4119,                 1.1193,                 1.3594,                0.70563,                0.56645,                0.61607,                0.34574,                 1.6203,                 1.2537,                 1.4913,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.4013,                 1.0835,                  1.355,                0.70239,                0.57205,                0.61464,                0.34808,                 1.6153,                 1.2416,                 1.4753,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.3646,                 1.0543,                 1.3334,                0.70466,                0.57273,                 0.6193,                0.34689,                 1.6165,                 1.2347,                 1.4829,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.3606,                 1.0447,                 1.3288,                0.70324,                  0.576,                0.62128,                0.34972,                 1.6098,                 1.2249,                  1.473,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.3585,                 1.0404,                  1.329,                0.72098,                0.56754,                0.62098,                0.35032,                 1.6044,                 1.2316,                 1.4695,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.3313,                  1.018,                 1.3089,                0.71604,                0.57783,                0.62778,                  0.357,                 1.6046,                 1.2112,                 1.4587,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.3322,                 1.0032,                  1.306,                0.72482,                0.56833,                0.62901,                0.35941,                 1.5955,                 1.2031,                 1.4599,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.3321,                 1.0078,                 1.3096,                0.71543,                0.57547,                0.63135,                 0.3581,                 1.5951,                 1.2032,                 1.4592,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.3176,                0.99425,                 1.3013,                0.70485,                0.59054,                0.63209,                 0.3591,                 1.5963,                 1.2043,                 1.4632,             8.2683e-05,             8.2683e-05,             8.2683e-05
